ip,anonymityLevel,asn,country,isp,latency,org,port,protocols
27.72.29.7,elite,AS7552,VN,Viettel Group,201,VIETTEL,5678,socks4
91.200.114.58,elite,AS48957,UA,"Joint Ukrainian American Enterprise \Telecommunications Resource Center\"" ltd""",39,Integra-Media Ltd,55749,socks4
217.23.13.32,elite,AS49981,NL,CUSTOMERPANEL,11,N/A,12412,socks4
162.215.170.113,elite,AS46606,US,Unified Layer,194,Unified Layer,16702,socks4
31.206.38.49,elite,AS15924,TR,Vodafone Net Iletisim Hizmetler,73,Vodafone Net Iletisim Hizmetler,37630,socks4
149.20.253.103,elite,AS18615,US,"Mainstream Fiber Networks, LLC",94,"Mainstream Fiber Networks, LLC",12551,socks4
107.172.78.121,elite,AS36352,US,HostPapa,98,RackNerd LLC,15673,socks5
103.76.13.142,elite,AS131111,ID,PT Mora Telematika Indonesia,191,Moratelindo,80,socks4
46.101.195.252,elite,AS14061,DE,"DigitalOcean, LLC",92,Digital Ocean,41842,socks4
65.49.82.7,elite,N/A,US,Hurricane Electric LLC,181,N/A,55739,socks4
52.117.160.219,elite,AS36351,US,SoftLayer,197,SoftLayer Technologies Inc,8081,http
122.248.46.26,elite,AS45325,ID,PT PC24 Cyber Indonesia,216,N/A,4145,socks4
14.241.203.46,elite,AS45899,VN,VNPT,237,Vietnam Posts and Telecommunications Group,5678,socks4
188.6.164.138,elite,AS5483,HU,Magyar Telekom,50,N/A,5678,socks4
121.13.252.60,elite,AS4134,CN,Chinanet,217,Chinanet GD,61401,socks4
109.224.22.36,elite,AS203214,IQ,Hulum,98,EarthLink Ltd. Communications&,51372,socks4
203.205.34.58,elite,AS45903,VN,CMC Telecom Infrastructure Company,218,CMC Telecom Infrastructure Company,5678,socks4
38.133.200.94,elite,AS63383,US,"Single Digits, Inc.",196,Single Digits Inc,31596,socks4
110.78.149.110,elite,AS131090,TH,CAT-BB,237,N/A,4145,socks4
177.190.192.57,elite,AS262731,BR,Ctinet Solucoes EM Conectividade E Informatica LTD,205,Ctinet Solucoes EM Conectividade E Informatica LTD,61221,socks4
46.227.37.73,elite,AS51155,PL,Telemedian - TB Telecom,39,Telemedian,51155,socks4
82.146.37.145,elite,AS29182,RU,JSC IOT,96,JSC IOT,80,http
104.16.108.234,elite,AS13335,CA,"Cloudflare, Inc.",2,"Cloudflare, Inc.",80,socks4
